,study_accession,experiment_accession,experiment_title,sample_taxon_id,sample_scientific_name,experiment_library_strategy,experiment_library_source,experiment_library_selection,sample_accession,sample_alias,experiment_instrument_model,pool_member_spots,run_1_size,run_1_accession,run_1_total_spots,run_1_total_bases
226,SRP409028,SRX18334012,"GSM6745690: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, CD71 Low, rep 3, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823071,GSM6745690,NextSeq 2000,35220433,1192534657,SRR22363344,35220433,3522043300
227,SRP409028,SRX18334011,"GSM6745689: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, CD71 Low, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823070,GSM6745689,NextSeq 2000,32244353,1008447329,SRR22363345,32244353,3224435300
228,SRP409028,SRX18334010,"GSM6745688: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, CD71 High, rep 4, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823069,GSM6745688,NextSeq 2000,36131890,1213414310,SRR22363346,36131890,3613189000
229,SRP409028,SRX18334009,"GSM6745687: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, CD71 High, rep 3, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823068,GSM6745687,NextSeq 2000,23776615,802654733,SRR22363347,23776615,2377661500
230,SRP409028,SRX18334008,"GSM6745686: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, CD71 High, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823067,GSM6745686,NextSeq 2000,32211359,963170018,SRR22363348,32211359,3221135900
231,SRP409028,SRX18334007,"GSM6745685: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, CD73, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823066,GSM6745685,NextSeq 2000,173886971,2259686798,SRR22363349,90191019,9019101900
232,SRP409028,SRX18334006,"GSM6745684: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, Ecad Low, rep 4, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823065,GSM6745684,NextSeq 2000,20526960,692764256,SRR22363351,20526960,2052696000
233,SRP409028,SRX18334005,"GSM6745683: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, Ecad Low, rep 3, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823064,GSM6745683,NextSeq 2000,34598500,1162915666,SRR22363352,34598500,3459850000
234,SRP409028,SRX18334004,"GSM6745682: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, Ecad Low, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823063,GSM6745682,NextSeq 2000,16555569,489205333,SRR22363353,16555569,1655556900
235,SRP409028,SRX18334003,"GSM6745681: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, Ecad Low, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823062,GSM6745681,NextSeq 2000,82956321,1002500087,SRR22363354,43029135,4302913500
236,SRP409028,SRX18334002,"GSM6745680: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, Ecad High, rep 4, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823061,GSM6745680,NextSeq 2000,33216950,1117206661,SRR22363356,33216950,3321695000
237,SRP409028,SRX18334001,"GSM6745679: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, Ecad High, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823060,GSM6745679,NextSeq 2000,39868162,1200796637,SRR22363357,39868162,3986816200
238,SRP409028,SRX18334000,"GSM6745678: 455 MPRA experiment on FACS populations of the mouse liver (3prime library, Ecad High, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823059,GSM6745678,NextSeq 2000,54284659,954607268,SRR22363358,28708697,2870869700
239,SRP409028,SRX18333999,"GSM6745677: 455 MPRA experiment on the mouse liver (3prime library, enhancer-barcode assignments); synthetic construct; OTHER",32630,synthetic construct,OTHER,GENOMIC,other,SRS15823058,GSM6745677,MinION,16836707,54967551373,SRR22363360,16836707,61710056373
240,SRP409028,SRX18333998,"GSM6745675: 455 MPRA experiment on HepG2 (3prime library, bulk Hepg2 - 3, rep 3, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823057,GSM6745675,NextSeq 2000,13732935,455466331,SRR22363361,13732935,1373293500
241,SRP409028,SRX18333997,"GSM6745674: 455 MPRA experiment on HepG2 (3prime library, bulk Hepg2 - 2, rep 3, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823056,GSM6745674,NextSeq 2000,9529438,323319596,SRR22363363,9529438,952943800
242,SRP409028,SRX18333996,"GSM6745673: 455 MPRA experiment on HepG2 (3prime library, bulk Hepg2 - 2, rep 3, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823055,GSM6745673,NextSeq 2000,13577091,447853592,SRR22363364,13577091,1357709100
243,SRP409028,SRX18333995,"GSM6745672: 455 MPRA experiment on HepG2 (3prime library, bulk Hepg2 - 1, rep 3, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823054,GSM6745672,NextSeq 2000,9227447,311453684,SRR22363365,9227447,922744700
244,SRP409028,SRX18333994,"GSM6745671: 455 MPRA experiment on HepG2 (3prime library, bulk Hepg2 - 1, rep 3, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823053,GSM6745671,NextSeq 2000,4928999,163418119,SRR22363366,4928999,492899900
245,SRP409028,SRX18333993,"GSM6745670: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 3, rep 3, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823052,GSM6745670,NextSeq 2000,4295404,144209821,SRR22363367,4295404,429540400
246,SRP409028,SRX18333992,"GSM6745676: 455 MPRA experiment on HepG2 (3prime library, bulk Hepg2 - 3, rep 3, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823051,GSM6745676,NextSeq 2000,13515358,449139746,SRR22363362,13515358,1351535800
247,SRP409028,SRX18333991,"GSM6745669: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 2, rep 3, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823050,GSM6745669,NextSeq 2000,12133137,403420957,SRR22363368,12133137,1213313700
248,SRP409028,SRX18333990,"GSM6745668: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 1, rep 3, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823049,GSM6745668,NextSeq 2000,20794348,693368190,SRR22363369,20794348,2079434800
249,SRP409028,SRX18333989,"GSM6745667: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 3, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823047,GSM6745667,NextSeq 2000,10769591,191012562,SRR22363370,5663751,566375100
250,SRP409028,SRX18333988,"GSM6745666: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 2, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823048,GSM6745666,NextSeq 2000,18262331,310306397,SRR22363372,9344622,934462200
251,SRP409028,SRX18333987,"GSM6745665: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 1, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823046,GSM6745665,NextSeq 2000,21911435,370252653,SRR22363374,11172411,1117241100
252,SRP409028,SRX18333986,"GSM6745664: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 5, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823045,GSM6745664,NextSeq 2000,17916266,588685942,SRR22363376,17916266,1791626600
253,SRP409028,SRX18333985,"GSM6745663: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 4, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823044,GSM6745663,NextSeq 2000,25837027,837768887,SRR22363377,25837027,2583702700
254,SRP409028,SRX18333984,"GSM6745662: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 3, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823043,GSM6745662,NextSeq 2000,21066170,683285509,SRR22363378,21066170,2106617000
255,SRP409028,SRX18333983,"GSM6745661: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 2, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823042,GSM6745661,NextSeq 2000,21169171,687200786,SRR22363379,21169171,2116917100
256,SRP409028,SRX18333982,"GSM6745660: 455 MPRA experiment on the mouse liver (3prime library, bulk mouse 1, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823041,GSM6745660,NextSeq 2000,23201454,761221099,SRR22363380,23201454,2320145400
257,SRP409027,SRX18333975,"GSM6745711: 12K MPRA experiment on HepG2 (3prime library, rep 2, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823034,GSM6745711,NextSeq 2000,20485128,640411753,SRR22363316,20485128,1987057416
258,SRP409027,SRX18333974,"GSM6745710: 12K MPRA experiment on HepG2 (3prime library, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823033,GSM6745710,NextSeq 2000,19246968,597186462,SRR22363317,19246968,1866955896
259,SRP409027,SRX18333973,"GSM6745709: 12K MPRA experiment on HepG2 (3prime library, rep 1, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823032,GSM6745709,NextSeq 2000,18743152,592421298,SRR22363318,18743152,1818085744
260,SRP409027,SRX18333972,"GSM6745708: 12K MPRA experiment on HepG2 (3prime library, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823031,GSM6745708,NextSeq 2000,26536096,820818178,SRR22363319,26536096,2574001312
261,SRP409027,SRX18333971,"GSM6745707: 12K MPRA experiment on the mouse liver (3prime library, enhancer-barcode assignments); synthetic construct; OTHER",32630,synthetic construct,OTHER,GENOMIC,other,SRS15823030,GSM6745707,MinION,1307623,4924181993,SRR22363320,1307623,5418678295
262,SRP409027,SRX18333970,"GSM6745706: 12K MPRA experiment on the mouse liver (3prime library, mouse 3, rep 1, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823029,GSM6745706,NextSeq 2000,110736635,3640594329,SRR22363321,110736635,11073663500
263,SRP409027,SRX18333969,"GSM6745705: 12K MPRA experiment on the mouse liver (3prime library, mouse 3, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823028,GSM6745705,NextSeq 2000,68511162,2138751153,SRR22363322,68511162,6851116200
264,SRP409027,SRX18333968,"GSM6745704: 12K MPRA experiment on the mouse liver (3prime library, mouse 2, rep 1, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823027,GSM6745704,NextSeq 2000,93448410,3039637123,SRR22363323,93448410,9344841000
265,SRP409027,SRX18333967,"GSM6745703: 12K MPRA experiment on the mouse liver (3prime library, mouse 2, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823026,GSM6745703,NextSeq 2000,51882163,1650502457,SRR22363324,51882163,5188216300
266,SRP409027,SRX18333966,"GSM6745702: 12K MPRA experiment on the mouse liver (3prime library, mouse 1, rep 1, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823025,GSM6745702,NextSeq 2000,98602814,3177453281,SRR22363325,98602814,9860281400
267,SRP409027,SRX18333965,"GSM6745701: 12K MPRA experiment on the mouse liver (3prime library, mouse 1, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823024,GSM6745701,NextSeq 2000,58376843,1846575978,SRR22363326,58376843,5837684300
268,SRP409027,SRX18333964,"GSM6745700: 12K MPRA experiment on the mouse liver (5 prime library, enhancer-barcode assignments); synthetic construct; OTHER",32630,synthetic construct,OTHER,GENOMIC,other,SRS15823023,GSM6745700,Illumina NovaSeq 6000,36347852,180171908,SRR22363327,5003991,485387127
269,SRP409027,SRX18333963,"GSM6745699: 12K MPRA experiment on the mouse liver (5prime library, mouse 2, rep 2, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823022,GSM6745699,NextSeq 2000,37458590,817143745,SRR22363329,37458590,3745859000
270,SRP409027,SRX18333962,"GSM6745698: 12K MPRA experiment on the mouse liver (5prime library, mouse 2, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823021,GSM6745698,NextSeq 2000,28599819,862170514,SRR22363330,28599819,2859981900
271,SRP409027,SRX18333961,"GSM6745697: 12K MPRA experiment on the mouse liver (5prime library, mouse 1, rep 2, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823020,GSM6745697,NextSeq 2000,28692421,852338802,SRR22363331,28692421,2869242100
272,SRP409027,SRX18333960,"GSM6745696: 12K MPRA experiment on the mouse liver (5prime library, mouse 1, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823019,GSM6745696,NextSeq 2000,29366263,878244227,SRR22363332,29366263,2936626300
273,SRP409027,SRX18333959,"GSM6745695: 12K MPRA experiment on the mouse liver (5prime library, mouse 2, rep 1, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823018,GSM6745695,NextSeq 2000,10433610,348124460,SRR22363333,10433610,1043361000
274,SRP409027,SRX18333958,"GSM6745694: 12K MPRA experiment on the mouse liver (5prime library, mouse 2, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823017,GSM6745694,NextSeq 2000,1478670,49744533,SRR22363334,1478670,147867000
275,SRP409027,SRX18333957,"GSM6745693: 12K MPRA experiment on the mouse liver (5prime library, mouse 1, rep 1, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823016,GSM6745693,NextSeq 2000,4273672,142996915,SRR22363335,4273672,427367200
276,SRP409027,SRX18333956,"GSM6745692: 12K MPRA experiment on the mouse liver (5prime library, mouse 1, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS15823015,GSM6745692,NextSeq 2000,2695054,90274811,SRR22363336,2695054,269505400
277,SRP398261,SRX17641549,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2665,3897420,SRR21641168,2665,4338413
278,SRP398261,SRX17641548,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2778,3983499,SRR21641169,2778,4436475
279,SRP398261,SRX17641547,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2657,3067411,SRR21641170,2657,3391954
280,SRP398261,SRX17641546,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2710,3611890,SRR21641171,2710,4012566
281,SRP398261,SRX17641545,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2840,2220202,SRR21641172,2840,2425171
282,SRP398261,SRX17641544,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2819,2516152,SRR21641173,2819,2761254
283,SRP398261,SRX17641543,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2831,2379466,SRR21641174,2831,2610910
284,SRP398261,SRX17641542,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2746,3495957,SRR21641175,2746,3877017
285,SRP398261,SRX17641541,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2777,5528228,SRR21641176,2777,6201281
286,SRP398261,SRX17641540,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2726,3507747,SRR21641177,2726,3895850
287,SRP398261,SRX17641539,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2484,4398045,SRR21641178,2484,4639189
288,SRP398261,SRX17641538,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2759,1830262,SRR21641179,2759,1978884
289,SRP398261,SRX17641537,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2822,3928345,SRR21641180,2822,4372243
290,SRP398261,SRX17641536,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2824,2231661,SRR21641181,2824,2438034
291,SRP398261,SRX17641535,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2756,2868029,SRR21641182,2756,3161929
292,SRP398261,SRX17641534,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2774,1801145,SRR21641183,2774,1946670
293,SRP398261,SRX17641533,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2683,5465705,SRR21641184,2683,6135416
294,SRP398261,SRX17641532,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2609,2327311,SRR21641185,2609,2403954
295,SRP398261,SRX17641531,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2629,4124107,SRR21641186,2629,4342153
296,SRP398261,SRX17641530,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2602,2947764,SRR21641187,2602,3075399
297,SRP398261,SRX17641529,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2514,4538294,SRR21641188,2514,4783903
298,SRP398261,SRX17641528,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2690,4336217,SRR21641189,2690,4571578
299,SRP398261,SRX17641527,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2689,3703854,SRR21641190,2689,3886585
300,SRP398261,SRX17641526,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2825,1944530,SRR21641191,2825,2109663
301,SRP398261,SRX17641525,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2813,2721505,SRR21641192,2813,2996785
302,SRP398261,SRX17641524,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2704,4540411,SRR21641193,2704,5077303
303,SRP398261,SRX17641523,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2780,4041658,SRR21641194,2780,4503455
304,SRP398261,SRX17641522,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2665,4059462,SRR21641195,2665,4522944
305,SRP398261,SRX17641521,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2631,5599352,SRR21641196,2631,6285786
306,SRP398261,SRX17641520,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2692,5175282,SRR21641197,2692,5798848
307,SRP398261,SRX17641519,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2861,5421819,SRR21641198,2861,5738656
308,SRP398261,SRX17641518,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2754,5471217,SRR21641199,2754,6141690
309,SRP398261,SRX17641517,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2726,2886930,SRR21641200,2726,3185685
310,SRP398261,SRX17641516,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2825,2468170,SRR21641201,2825,2707605
311,SRP398261,SRX17641515,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2722,2386483,SRR21641202,2722,2618490
312,SRP398261,SRX17641514,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2673,4151957,SRR21641203,2673,4628663
313,SRP398261,SRX17641513,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2838,2047100,SRR21641204,2838,2226012
314,SRP398261,SRX17641512,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2744,2873262,SRR21641205,2744,3171862
315,SRP398261,SRX17641511,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2787,2342096,SRR21641206,2787,2563138
316,SRP398261,SRX17641510,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2727,2602867,SRR21641207,2727,2861692
317,SRP398261,SRX17641509,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2655,3288624,SRR21641208,2655,3646573
318,SRP398261,SRX17641508,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2728,4629648,SRR21641209,2728,4881891
319,SRP398261,SRX17641507,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2770,4677687,SRR21641210,2770,4933635
320,SRP398261,SRX17641506,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2703,3028521,SRR21641211,2703,3349115
321,SRP398261,SRX17641505,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2780,3688897,SRR21641212,2780,4101749
322,SRP398261,SRX17641504,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2857,2048192,SRR21641213,2857,2227558
323,SRP398261,SRX17641503,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2807,2723763,SRR21641214,2807,2999027
324,SRP398261,SRX17641502,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2806,3968645,SRR21641215,2806,4421290
325,SRP398261,SRX17641501,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2790,1872236,SRR21641216,2790,2030052
326,SRP398261,SRX17641500,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2886,2472547,SRR21641217,2886,2710537
327,SRP398261,SRX17641499,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2862,2461723,SRR21641218,2862,2697618
328,SRP398261,SRX17641498,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2818,2322505,SRR21641219,2818,2540396
329,SRP398261,SRX17641497,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2812,3595807,SRR21641220,2812,3993239
330,SRP398261,SRX17641496,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2669,4657746,SRR21641221,2669,4914811
331,SRP398261,SRX17641495,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2667,3223978,SRR21641222,2667,3573180
332,SRP398261,SRX17641494,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2873,5147520,SRR21641223,2873,5443904
333,SRP398261,SRX17641493,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2532,4449421,SRR21641224,2532,4687111
334,SRP398261,SRX17641492,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2558,4642677,SRR21641225,2558,4902965
335,SRP398261,SRX17641491,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2584,4487861,SRR21641226,2584,4737233
336,SRP398261,SRX17641490,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,WGS,GENOMIC,RANDOM,SRS15175584,LFDGVibira1,MinION,2538,4590340,SRR21641227,2538,4845978
